,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-19 06:00:00+01:00,32.15738296508789,32.193485260009766,31.60617446899414,31.631555557250977,0,0,0
2021-04-19 07:00:00+01:00,31.62076759338379,32.04141616821289,31.615234375,32.04141616821289,0,0,0
2021-04-19 08:00:00+01:00,32.09120178222656,32.36985397338867,31.924541473388672,32.25149154663086,0,0,0
2021-04-19 09:00:00+01:00,32.20123291015625,32.389041900634766,31.795364379882812,31.85686492919922,0,0,0
2021-04-19 10:00:00+01:00,31.830238342285156,32.195823669433594,31.543224334716797,31.792905807495117,7743424,0,0
2021-04-19 11:00:00+01:00,31.754161834716797,31.754161834716797,30.885969161987305,31.216875076293945,0,0,0
2021-04-19 12:00:00+01:00,31.262861251831055,31.878877639770508,31.24102783203125,31.831636428833008,0,0,0
2021-04-19 13:00:00+01:00,31.839252471923828,31.839252471923828,31.497333526611328,31.497333526611328,0,0,0
2021-04-19 14:00:00+01:00,31.46221160888672,31.900836944580078,31.041292190551758,31.366592407226562,0,0,0
2021-04-19 15:00:00+01:00,31.312923431396484,31.312923431396484,29.658628463745117,30.302160263061523,22838208,0,0
2021-04-19 16:00:00+01:00,30.239551544189453,30.239551544189453,29.46617889404297,29.984249114990234,41440128,0,0
2021-04-19 17:00:00+01:00,29.9606990814209,30.58741569519043,29.893516540527344,30.193031311035156,0,0,0
2021-04-19 18:00:00+01:00,30.197200775146484,31.416501998901367,30.085405349731445,31.416501998901367,22220992,0,0
2021-04-19 19:00:00+01:00,31.2818546295166,31.86846923828125,31.251943588256836,31.74921989440918,15715392,0,0
2021-04-19 20:00:00+01:00,31.776718139648438,32.28624725341797,31.702621459960938,32.028751373291016,22471936,0,0
2021-04-19 21:00:00+01:00,32.19045639038086,32.59022521972656,31.985544204711914,32.446388244628906,8120064,0,0
2021-04-19 22:00:00+01:00,32.52890396118164,32.66889953613281,32.039241790771484,32.3487548828125,1695872,0,0
2021-04-19 23:00:00+01:00,32.336368560791016,32.69434356689453,31.871337890625,32.30998229980469,1581952,0,0
2021-04-20 00:00:00+01:00,32.10950469970703,32.299339294433594,31.20923614501953,31.446096420288086,0,0,0
2021-04-20 01:00:00+01:00,31.3869686126709,31.469453811645508,29.87076187133789,30.053512573242188,0,0,0
2021-04-20 02:00:00+01:00,30.269893646240234,30.769817352294922,29.87235450744629,30.04821014404297,3590528,0,0
2021-04-20 03:00:00+01:00,30.03716468811035,30.0529727935791,29.588253021240234,29.955284118652344,5154240,0,0
2021-04-20 04:00:00+01:00,29.952857971191406,29.95586395263672,29.530479431152344,29.768409729003906,0,0,0
2021-04-20 05:00:00+01:00,29.787630081176758,30.1588077545166,29.452377319335938,30.082077026367188,181495808,0,0
2021-04-20 06:00:00+01:00,30.12685203552246,30.189088821411133,29.608322143554688,29.7060604095459,0,0,0
2021-04-20 07:00:00+01:00,29.755475997924805,29.943470001220703,28.403411865234375,28.585783004760742,21456064,0,0
2021-04-20 08:00:00+01:00,28.672672271728516,29.077234268188477,28.414737701416016,29.07318115234375,35502912,0,0
2021-04-20 09:00:00+01:00,29.100576400756836,29.746871948242188,29.013673782348633,29.71517562866211,18399936,0,0
2021-04-20 10:00:00+01:00,29.697919845581055,29.962547302246094,29.569618225097656,29.79819107055664,0,0,0
2021-04-20 11:00:00+01:00,29.7904109954834,30.68513298034668,29.7904109954834,30.46579360961914,7475072,0,0
2021-04-20 12:00:00+01:00,30.454586029052734,30.684123992919922,30.217693328857422,30.60663414001465,1590272,0,0
2021-04-20 13:00:00+01:00,30.62503433227539,30.62503433227539,30.179853439331055,30.20718765258789,0,0,0
2021-04-20 14:00:00+01:00,30.187355041503906,30.88649559020996,30.18227767944336,30.88649559020996,5015424,0,0
2021-04-20 15:00:00+01:00,30.897891998291016,30.948884963989258,30.143362045288086,30.25104331970215,0,0,0
2021-04-20 16:00:00+01:00,30.16836929321289,30.34131622314453,29.54435920715332,29.959617614746094,0,0,0
2021-04-20 17:00:00+01:00,30.087764739990234,30.227380752563477,29.7763671875,30.213499069213867,0,0,0
2021-04-20 18:00:00+01:00,30.243175506591797,30.61265754699707,30.100597381591797,30.61265754699707,2997568,0,0
2021-04-20 19:00:00+01:00,30.607280731201172,31.248926162719727,30.459829330444336,31.155611038208008,12035840,0,0
2021-04-20 20:00:00+01:00,31.12911033630371,31.780290603637695,31.12911033630371,31.54291343688965,7679040,0,0
2021-04-20 21:00:00+01:00,31.5689697265625,31.8430118560791,31.337263107299805,31.407262802124023,4941760,0,0
2021-04-20 22:00:00+01:00,31.340290069580078,31.853736877441406,31.198213577270508,31.641265869140625,3505920,0,0
2021-04-20 23:00:00+01:00,31.685657501220703,31.973299026489258,31.27153205871582,31.92607307434082,0,0,0
2021-04-21 00:00:00+01:00,32.03708267211914,32.22580337524414,31.625272750854492,31.96319007873535,4594240,0,0
2021-04-21 01:00:00+01:00,31.984546661376953,32.52463150024414,31.138736724853516,31.146568298339844,0,0,0
2021-04-21 02:00:00+01:00,31.182870864868164,32.412925720214844,31.061359405517578,32.355411529541016,13069120,0,0
2021-04-21 03:00:00+01:00,32.37601089477539,32.66106414794922,32.0118522644043,32.396766662597656,957120,0,0
2021-04-21 04:00:00+01:00,32.446266174316406,32.67618942260742,31.676706314086914,31.821123123168945,0,0,0
2021-04-21 05:00:00+01:00,31.687973022460938,32.0763053894043,31.46144676208496,32.0763053894043,0,0,0
2021-04-21 06:00:00+01:00,32.006591796875,32.006591796875,31.591161727905273,31.839021682739258,2400192,0,0
2021-04-21 07:00:00+01:00,31.912660598754883,32.297401428222656,31.689844131469727,32.04079055786133,0,0,0
2021-04-21 08:00:00+01:00,32.051795959472656,32.051795959472656,31.39366340637207,31.39753532409668,0,0,0
2021-04-21 09:00:00+01:00,31.49881935119629,32.50397491455078,31.19843292236328,32.284969329833984,35589184,0,0
2021-04-21 10:00:00+01:00,32.27616882324219,32.71072006225586,32.10650634765625,32.42947769165039,11306688,0,0
2021-04-21 11:00:00+01:00,32.45969772338867,32.45969772338867,31.43149757385254,31.4667911529541,0,0,0
2021-04-21 12:00:00+01:00,31.411481857299805,31.735454559326172,30.559762954711914,30.83217430114746,42520768,0,0
2021-04-21 13:00:00+01:00,30.8237361907959,32.10165023803711,30.737234115600586,32.02482604980469,51372544,0,0
2021-04-21 14:00:00+01:00,32.09653091430664,32.24240493774414,31.821027755737305,31.936010360717773,8411776,0,0
2021-04-21 15:00:00+01:00,32.109710693359375,33.62150192260742,31.893184661865234,33.62150192260742,83486464,0,0
2021-04-21 16:00:00+01:00,33.69083023071289,35.62295913696289,33.472434997558594,35.588748931884766,189615104,0,0
