Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-19,0.009964000433683395,0.010288000106811523,0.009437999688088894,0.009762000292539597,28275173,0,0
2020-05-20,0.00975400023162365,0.010068999603390694,0.00942699983716011,0.009589999914169312,22430120,0,0
2020-05-21,0.009593999944627285,0.010154999792575836,0.008546000346541405,0.009809999726712704,34226918,0,0
2020-05-22,0.00979399960488081,0.010472999885678291,0.009340999647974968,0.01005600020289421,38056914,0,0
2020-05-23,0.010058999992907047,0.010463000275194645,0.009684000164270401,0.009917999617755413,27030720,0,0
2020-05-24,0.009926999919116497,0.010669000446796417,0.009542999789118767,0.009940999560058117,36603404,0,0
2020-05-25,0.009929999709129333,0.013570000417530537,0.009819000028073788,0.0124719999730587,130439798,0,0
2020-05-26,0.01245300006121397,0.01322800014168024,0.011707000434398651,0.012326999567449093,69258533,0,0
2020-05-27,0.012326999567449093,0.012690999545156956,0.011714999563992023,0.012237999588251114,50153063,0,0
2020-05-28,0.012250999920070171,0.013050000183284283,0.012005999684333801,0.012376000173389912,42904812,0,0
2020-05-29,0.012357000261545181,0.012547999620437622,0.012020000256597996,0.012446999549865723,32292266,0,0
2020-05-30,0.01245300006121397,0.014096000231802464,0.01245300006121397,0.013379000127315521,55320556,0,0
2020-05-31,0.013379000127315521,0.015325999818742275,0.013379000127315521,0.014813999645411968,80072668,0,0
2020-06-01,0.014787999913096428,0.017504999414086342,0.014542000368237495,0.01622699946165085,139073185,0,0
2020-06-02,0.016208000481128693,0.01961199939250946,0.016201000660657883,0.018170999363064766,140340852,0,0
2020-06-03,0.018160000443458557,0.018371999263763428,0.01691100001335144,0.017992999404668808,64804016,0,0
2020-06-04,0.01799199916422367,0.01802000030875206,0.016472000628709793,0.016473999246954918,43425868,0,0
2020-06-05,0.01647300086915493,0.01810400001704693,0.016439000144600868,0.017992999404668808,52803704,0,0
2020-06-06,0.017992999404668808,0.022422000765800476,0.01797099970281124,0.021259000524878502,142446269,0,0
2020-06-07,0.021192999556660652,0.022600999101996422,0.020099999383091927,0.022400999441742897,115950810,0,0
2020-06-08,0.02239600010216236,0.02239600010216236,0.020973000675439835,0.02131599932909012,51130682,0,0
2020-06-09,0.021307000890374184,0.024625999853014946,0.020834000781178474,0.024488000199198723,90448216,0,0
2020-06-10,0.02448200061917305,0.028829999268054962,0.023794999346137047,0.02734299935400486,175041447,0,0
2020-06-11,0.02732899971306324,0.029875999316573143,0.024105999618768692,0.025452999398112297,216391538,0,0
2020-06-12,0.02532700076699257,0.02672399953007698,0.02468699961900711,0.026014000177383423,107249148,0,0
2020-06-13,0.026003999635577202,0.02605699934065342,0.021956000477075577,0.02267399989068508,119753132,0,0
2020-06-14,0.022718999534845352,0.024362999945878983,0.021709999069571495,0.023062000051140785,107438019,0,0
2020-06-15,0.023062000051140785,0.025668000802397728,0.02087699994444847,0.02515999972820282,165765500,0,0
2020-06-16,0.02514900080859661,0.02643200010061264,0.02448200061917305,0.025088999420404434,93447697,0,0
2020-06-17,0.025095999240875244,0.025097999721765518,0.023090999573469162,0.023303000256419182,85004528,0,0
2020-06-18,0.023303000256419182,0.02333199977874756,0.020479999482631683,0.02088399976491928,94241244,0,0
2020-06-19,0.02089099958539009,0.021841999143362045,0.01844099909067154,0.018678000196814537,101494606,0,0
2020-06-20,0.018678000196814537,0.01928899995982647,0.017722999677062035,0.019135000184178352,92722020,0,0
2020-06-21,0.01915000006556511,0.02116999961435795,0.01915000006556511,0.019905000925064087,103657157,0,0
2020-06-22,0.019878000020980835,0.0205680001527071,0.019372999668121338,0.020010000094771385,61338000,0,0
2020-06-23,0.020005999132990837,0.020098000764846802,0.01889199949800968,0.019463999196887016,55911595,0,0
2020-06-24,0.019446000456809998,0.020397000014781952,0.0189449992030859,0.019574999809265137,60459968,0,0
2020-06-25,0.019582999870181084,0.01976799964904785,0.01885399967432022,0.01888900063931942,42095104,0,0
2020-06-26,0.018876999616622925,0.01901400089263916,0.017844999209046364,0.01785299926996231,38519200,0,0
2020-06-27,0.01785700023174286,0.01793600060045719,0.01537800021469593,0.01590700075030327,54479929,0,0
2020-06-28,0.01590700075030327,0.01860399916768074,0.015873000025749207,0.01796800084412098,78453257,0,0
2020-06-29,0.01796800084412098,0.018314000219106674,0.017031000927090645,0.018056999891996384,48640931,0,0
2020-06-30,0.018046999350190163,0.018107999116182327,0.017371000722050667,0.017400000244379044,31965761,0,0
2020-07-01,0.017395999282598495,0.017796000465750694,0.017057999968528748,0.017433999106287956,31850945,0,0
2020-07-02,0.01742500066757202,0.01795700006186962,0.016784999519586563,0.01752600073814392,33725441,0,0
2020-07-03,0.017514999955892563,0.017514999955892563,0.01669899933040142,0.017038999125361443,31280105,0,0
2020-07-04,0.017038000747561455,0.01946200057864189,0.016905000433325768,0.01909399963915348,73742969,0,0
2020-07-05,0.01909399963915348,0.019386999309062958,0.017945999279618263,0.01856200024485588,70801698,0,0
2020-07-06,0.01856200024485588,0.019247999414801598,0.01846799999475479,0.019000999629497528,47930632,0,0
2020-07-07,0.019000999629497528,0.02071700058877468,0.01863499917089939,0.02025900036096573,65726214,0,0
2020-07-08,0.02029000036418438,0.02121799997985363,0.02027199976146221,0.020812999457120895,70300471,0,0
