,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-19 06:00:00+01:00,36.89262008666992,37.58965301513672,36.55976104736328,37.454490661621094,0,0,0
2021-04-19 07:00:00+01:00,37.34210205078125,37.50202560424805,36.785240173339844,37.27103805541992,0,0,0
2021-04-19 08:00:00+01:00,37.242942810058594,37.339210510253906,36.83269500732422,37.011817932128906,0,0,0
2021-04-19 09:00:00+01:00,37.00846862792969,37.05607986450195,35.50259780883789,35.825950622558594,0,0,0
2021-04-19 10:00:00+01:00,35.80475616455078,36.54520797729492,35.52922821044922,36.2201042175293,0,0,0
2021-04-19 11:00:00+01:00,36.13534164428711,36.13534164428711,34.73807907104492,35.135738372802734,0,0,0
2021-04-19 12:00:00+01:00,35.230377197265625,36.1916389465332,35.230377197265625,36.008182525634766,61703680,0,0
2021-04-19 13:00:00+01:00,35.994537353515625,36.2360725402832,35.20386505126953,35.22749710083008,0,0,0
2021-04-19 14:00:00+01:00,35.20207977294922,35.35105514526367,34.4474983215332,34.91383743286133,0,0,0
2021-04-19 15:00:00+01:00,34.92483139038086,34.92483139038086,32.87428665161133,33.753562927246094,0,0,0
2021-04-19 16:00:00+01:00,33.72510528564453,33.732200622558594,32.252906799316406,32.711204528808594,0,0,0
2021-04-19 17:00:00+01:00,32.63589096069336,33.58165740966797,32.43215560913086,32.80066680908203,0,0,0
2021-04-19 18:00:00+01:00,32.798927307128906,34.097320556640625,32.54326629638672,34.097320556640625,38117888,0,0
2021-04-19 19:00:00+01:00,34.058624267578125,34.475135803222656,34.058624267578125,34.102500915527344,0,0,0
2021-04-19 20:00:00+01:00,34.110755920410156,34.53702926635742,33.82609558105469,34.349853515625,0,0,0
2021-04-19 21:00:00+01:00,34.35433578491211,34.929542541503906,34.198944091796875,34.68234634399414,0,0,0
2021-04-19 22:00:00+01:00,34.76212692260742,35.10304641723633,34.34577178955078,34.76904296875,0,0,0
