,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-19 06:00:00+01:00,56977.6875,56979.54296875,56475.3671875,56550.00390625,0,0,0
2021-04-19 07:00:00+01:00,56547.36328125,57326.81640625,56547.36328125,57326.81640625,0,0,0
2021-04-19 08:00:00+01:00,57269.86328125,57444.64453125,57089.015625,57376.20703125,0,0,0
2021-04-19 09:00:00+01:00,57361.42578125,57520.0546875,56846.58984375,56883.48046875,0,0,0
2021-04-19 10:00:00+01:00,56824.95703125,57100.70703125,56633.7421875,56762.55859375,0,0,0
2021-04-19 11:00:00+01:00,56745.5390625,56763.89453125,56207.71875,56446.95703125,0,0,0
2021-04-19 12:00:00+01:00,56533.91796875,57403.66015625,56517.0859375,57159.55859375,0,0,0
2021-04-19 13:00:00+01:00,57126.9453125,57143.98828125,56578.19921875,56578.19921875,0,0,0
2021-04-19 14:00:00+01:00,56561.19921875,56743.86328125,56108.7265625,56743.86328125,0,0,0
2021-04-19 15:00:00+01:00,56689.2578125,56689.2578125,55248.19921875,55494.93359375,113487872,0,0
2021-04-19 16:00:00+01:00,55500.49609375,55500.49609375,54368.59375,54678.66015625,1415139328,0,0
2021-04-19 17:00:00+01:00,54633.59765625,55413.640625,54522.3046875,54853.9296875,636743680,0,0
2021-04-19 18:00:00+01:00,54864.73046875,55455.62890625,54693.1953125,55414.30859375,1016709120,0,0
2021-04-19 19:00:00+01:00,55403.24609375,55842.5703125,55361.68359375,55653.99609375,405532672,0,0
2021-04-19 20:00:00+01:00,55670.07421875,56068.89453125,55468.3125,55975.6875,293187584,0,0
2021-04-19 21:00:00+01:00,55973.86328125,56399.40234375,55818.8984375,56158.70703125,18169856,0,0
2021-04-19 22:00:00+01:00,56181.58984375,56574.90234375,55784.1484375,56297.9375,0,0,0
2021-04-19 23:00:00+01:00,56296.30859375,56339.3515625,55898.19140625,56203.74609375,0,0,0
2021-04-20 00:00:00+01:00,56081.75390625,56190.86328125,55609.015625,55724.265625,0,0,0
2021-04-20 01:00:00+01:00,55681.79296875,55724.98046875,54455.80078125,54492.19921875,0,0,0
2021-04-20 02:00:00+01:00,54631.375,55148.2109375,54546.5078125,54833.10546875,709345280,0,0
2021-04-20 03:00:00+01:00,54813.0546875,54833.09765625,54062.1328125,54238.0390625,28585984,0,0
2021-04-20 04:00:00+01:00,54300.25390625,54883.16796875,54300.25390625,54803.22265625,0,0,0
2021-04-20 05:00:00+01:00,54803.87109375,55353.3203125,54699.58984375,55277.890625,12925222912,0,0
2021-04-20 06:00:00+01:00,55282.265625,55403.390625,54824.67578125,54926.76953125,0,0,0
2021-04-20 07:00:00+01:00,54961.77734375,55158.55859375,53634.45703125,53672.81640625,0,0,0
2021-04-20 08:00:00+01:00,53815.28515625,54302.6640625,53448.046875,54228.4375,1512980480,0,0
2021-04-20 09:00:00+01:00,54409.421875,55294.25390625,54290.71875,55167.00390625,1170698240,0,0
2021-04-20 10:00:00+01:00,55230.5390625,55376.69140625,54876.3203125,54937.8828125,0,0,0
2021-04-20 11:00:00+01:00,54902.44140625,56172.1875,54902.44140625,55985.48046875,1185288192,0,0
2021-04-20 12:00:00+01:00,55949.17578125,56379.96484375,55766.1015625,56265.91796875,307527680,0,0
2021-04-20 13:00:00+01:00,56302.01171875,56302.01171875,55708.5859375,55842.3046875,0,0,0
2021-04-20 14:00:00+01:00,55851.48828125,56290.9296875,55851.48828125,56288.16796875,338239488,0,0
2021-04-20 15:00:00+01:00,56323.75390625,56414.265625,55446.99609375,55467.84375,0,0,0
2021-04-20 16:00:00+01:00,55406.71484375,55577.2265625,54854.9375,55368.62109375,0,0,0
2021-04-20 17:00:00+01:00,55358.328125,55805.79296875,55182.79296875,55805.79296875,0,0,0
2021-04-20 18:00:00+01:00,55796.99609375,55949.62109375,55619.52734375,55949.62109375,87236608,0,0
2021-04-20 19:00:00+01:00,55943.77734375,56368.890625,55781.21875,56280.70703125,773115904,0,0
2021-04-20 20:00:00+01:00,56265.42578125,56723.3203125,56260.9609375,56590.7421875,831242240,0,0
2021-04-20 21:00:00+01:00,56606.31640625,57027.4375,56438.6953125,56834.62890625,632025088,0,0
